ID,DartingDate,KayCode,CodeNumberOnSamples,TUCB,A4UCB,T,P,C,E,A,LH,STRESSCA,NIPS,IGF,IGF06,TESTES,Notes,BODY,SHOULDER,WT,PM3,MOTOBABE,RANK,TENURE,AGEMO,SEX,MO,YR,REPCON,REPCAT,SOCCAT
dman,8/1/96,180,,2.619999886,1.340000033,2.528,,0,,,0.42,1,,,,2204,,103,82,57.16,11.15,,,,,M,8,1996,ok,,LTI
fly,9/19/96,184,,,,0,1.506,17.511,0,,0.38,2,27.8,,,,,89,79,61.36,14.2,,,,,F,9,1996,lact,1,LTI
yel,12/31/96,193,,,,0.396,2.036,8.913,5.862,,0.42,2,13.9,,213,,,93,79.4,58.9,15.2,,,,,F,12,1996,lact,1,
bos,1/22/97,183,,0.550000012,0.400000006,0.17,,0.194,,,0.23,2,,,201,1275.945,,89.5,77.5,42.3,18.15,,,0.42,,M,1,1997,ok,,STI
fa,1/16/97,70,,,,1.7,,0.611,,,0.44,2,,210.08,,1872.65,,92.3,75.5,58.2,16.15,,,5.42,,M,1,1997,ok,,LTI
darw,6/11/97,208,,,,0,,0.526,,,0.32,2,,,243,985.6,,79,62.5,29.6,,,3,,11.25,M,6,1997,bado,0,JNM
gonz,6/9/97,206,,,,0,,5.446,,,0.25,2,,,183,650.7,,76.5,66,22.5,,,19,,9.1,M,6,1997,bado,0,JNM
kang,6/9/97,205,,,,0,,1.948,,,0.27,2,,,121,596.24,,66,56.5,14.3,,,21,,8,M,6,1997,bado,0,JNM
linc,6/30/97,211,,,,0.054,,0.351,,,0.66,2,,,56,296.4,,61.5,53.9,12.5,,,11,,8.25,M,6,1997,bado,0,JNM
maz,6/28/97,198,,,,0,0.13,0.487,8.566,,0.34,2,3.1,,168,,,70,58,17.3,,,10,,8.5,F,6,1997,bado,0,RJF
mrph,6/7/97,197,,,,0.013,0.095,0.162,0.391,,1.17,2,2.25,,298,,,84,65.3,32.5,,-15,1,,11.5,F,6,1997,bado,0,RJF
nod,6/11/97,207,,,,0,,10.534,,,0.28,2,,,117,681.2,,67,56.5,15.5,,,15,,7.8,M,6,1997,bado,0,JNM
oly,6/12/97,202,,,,0,,0.306,,,1.35,2,,,136,1147.56,,88.5,72.5,37,19.6,,4,,20,M,6,1997,ok,,JNM
pims,6/8/97,204,,,,0,,0.672,,,0.25,2,,,168,407.25,,66.7,57.2,15.7,,,15,,7.8,M,6,1997,bado,0,JNM
psy,6/8/97,203,,,,0,0.064,0.696,2.288,,0.33,2,3.5,,397,,,72.3,61,23,,,16,,7.8,F,6,1997,bado,0,RJF
rs,6/4/97,175,,,,3.49,,0.044,,,0.48,2,,,149,1595.79,,95,79,52,15.7,,,1.5,,M,6,1997,ok,,LTI
wash,6/30/97,212,,,,0,,2.848,,,0.35,2,,,38,368.97,,59.5,49.5,10.9,,,11,,8.25,M,6,1997,bado,0,JNM
bm,7/27/97,221,,,,0,0.521,0.206,7.819,,0.37,2,13.6,272.15,167,,,95.6,76,49,13.38,11,18,,96.3,F,7,1997,lact,1,RAF
bp,7/15/97,178,,,,0.55,,0.023,,,0.19,2,,,140,1466.5,,98.2,78.7,49.5,16.3,,,1.083,,M,7,1997,ok,,LTI
gob,7/17/97,167,,,,0.218,,0.206,,,0.21,2,,,179,1398.4,,90.3,76.7,44.1,15.9,,,1.17,,M,7,1997,ok,,LTI
mali,7/4/97,213,,,,0,0.07,0.419,0,,0.42,2,4,,383,,,74,66.5,28.9,,,8,,8.75,F,7,1997,bado,0,RJF
msha,7/29/97,222,,,,0,0.138,0.317,0,,0.7,2,3.7,,337,,,78,65.5,25,,,18,,11,F,7,1997,bado,0,RJF
